number,title
1,Ani Ole Nyɔŋmɔ Jogbaŋŋ?
2,Ani Obaafo Naagbee Gbii Lɛ?
3,Okɛ Yehowa Gbɛjianɔtoo Ní Efee Ekome Lɛ Anyiɛ
4,Nibii Ni Ebɔle Wɔ Ni Tsɔɔ Akɛ Nyɔŋmɔ Yɛ
5,Yelikɛbuamɔ Diɛŋtsɛ Kɛhã Weku Lɛ
6,Bɔ Ni Nu Afua Ni Ba Yɛ Noa Gbii Lɛ Amli Lɛ Kɔɔ Ohe
7,Kasemɔ “Tsɛ Ni Mɔbɔnalɛ Eyi Lɛ Obɔ Lɛ”
8,"Feemɔ Nyɔŋmɔ Suɔmɔnaa Nii, Shi Jeee Bo Diɛŋtsɛ Onɔ"
9,Bo Nyɔŋmɔ Wiemɔ Lɛ Toi Jogbaŋŋ Ni Okɛtsu Nii
10,Ye Anɔkwa Yɛ Owiemɔ Kɛ Onifeemɔi Fɛɛ Mli
11,‘Wɔfataaa Je Lɛ He’—Ejaa Kɛ Wɔmiikase Kristo
12,Ani Obuɔ Mɛi Ni Yɔɔ Hegbɛi Yɛ Wɔnɔ Lɛ Tamɔ Bɔ Ni Nyɔŋmɔ Kpaa Gbɛ Lɛ?
13,Mɛni Ji Nyɔŋmɔ Susumɔ Yɛ Bɔlɛnamɔ Kɛ Gbalashihilɛ He?
14,Gbɔmɛi Ni He Tse Woɔ Nyɔŋmɔ Hiɛ Nyam
15,‘Feemɔ Mɛi Fɛɛ Ekpakpa’
16,Yaa Nɔ Owaje Okɛ Nyɔŋmɔ Teŋ Wekukpãa Lɛ
17,Okɛ Nɔ Fɛɛ Nɔ Ni Oyɔɔ Lɛ Awo Nyɔŋmɔ Hiɛ Nyam
18,Okɛ Yehowa Afee Obobaahe
19,Te Obaafee Tɛŋŋ Ole Nɔ Ni Baaba Onɔ Wɔsɛɛ Lɛ?
20,Ani Be Eshɛ Ni Nyɔŋmɔ Baaye Je Lɛ Nɔ?
21,Ohiɛ Asɔ Hegbɛ Ni Onã Akɛ Oji Maŋtsɛyeli Lɛ Mli Nyo Lɛ
22,Ani Oonã Nibii Ni Yehowa Kɛhãa Wɔ Lɛ Ahe Sɛɛ?
23,Mɛɛ Yiŋtoo Hewɔ Abɔ Adesai?
24,Ani Ona ‘Adiagba Ko Ni Jara Wa’?
25,Wu Oshi Je Lɛ Mumɔ Lɛ!
26,Ani Ohe Hiaa Nyɔŋmɔ?
27,Mɛni Hãa Gbãla Sɔɔ?
28,Jiemɔ Bulɛ Kɛ Suɔmɔ Kpo Yɛ Ogbãla Lɛ Mli
29,Sɔ̃i Ni Jwere Onɔ Akɛ Fɔlɔ Kɛ Jɔɔmɔi Ni Ekɛbaa
30,Bɔ Ni Weku Mli Bii Baafee Amɛkɛ Amɛhe Agba Sane Jogbaŋŋ
31,Ani Onuɔ He Akɛ Nyɔŋmɔ He Miihia Bo?
32,Bɔ Ni Wɔɔfee Wɔdamɔ Tsuiyeli Naa
33,Ani Be Ko Baashɛ Ni Abaaye Jalɛ Sane Diɛŋtsɛ?
34,Ani Abaakadi Bo Kɛhã Yibaamɔ?
35,Ani Obaanyɛ Ohi Shi Kɛya Naanɔ? Mɛni Baahã Onyɛ Ohi Shi Kɛya Naanɔ?
36,Ani Abɔ Wɔ Ni Wɔgbolɔ Ni Wɔgboi?
37,Ani Nyɔŋmɔ Gbɛi Lɛ Anɔ Nyiɛmɔ He Yɛ Sɛɛnamɔ Lɛɛlɛŋ?
38,Mɛni Esa Akɛ Ofee Koni Abaa Oyi Yɛ Je Lɛ Naagbee Lɛ Mli?
39,Mɛɛ Gbɛ Nɔ Yesu Kristo Baaye Je Lɛ Nɔ Kunim? Mɛɛ Be Ebaafee Nakai?
40,Mɛɛ Nibii Etsɛŋ Ebaaba?
41,"“Nyɛdamɔa Shi, Ni Nyɛkwɛa Bɔ Ni Yehowa Baahere Nyɛyiwala Ehã”"
42,Ani Suɔmɔ Baanyɛ Aye Nyɛɛ Nɔ Kunim?
43,Nibii Ni Nyɔŋmɔ Biɔ Yɛ Wɔdeŋ Lɛ Ahe Yɛ Sɛɛnamɔ Be Fɛɛ Be Baafa
44,Te Obaafee Tɛŋŋ Onã Yesu Tsɔɔmɔi Lɛ He Sɛɛ?
45,Nyiɛmɔ Gbɛ Ni Kɛ Mɔ Yaa Naanɔ Wala Mli Lɛ Nɔ
46,Hiɛmɔ Ohemɔkɛyeli Lɛ Mli Kpɛŋŋ Kɛyashi Naagbee
47,Hemɔ Sane Kpakpa Lɛ Oye
48,"Kɛ́ Aaka Bo Lɛ, Ye Nyɔŋmɔ Anɔkwa"
49,Ani Abaanyɛ Ahã Shikpɔŋ Lɛ Nɔ Atse?
50,Bɔ Ni Obaafee Okpɛ Yiŋ Ni Baahã Oye Omanye
51,Ani Anɔkwale Lɛ Miitsake Bo?
52,Namɔ Ji O-Nyɔŋmɔ?
53,Ani Osusumɔi Kɛ Nyɔŋmɔ Nɔ Lɛ Kpãa Gbee?
54,Hemɔ Nyɔŋmɔ Kɛ Eshiwoi Lɛ Oye
55,Te Obaafee Tɛŋŋ Ofee Gbɛ́i Kpakpa Yɛ Nyɔŋmɔ Hiɛ?
56,Mɛɛ Hiɛnyiɛlɔ Obaanyɛ Okɛ Ohiɛ Afɔ̃ Enɔ?
57,Wɔhiɛ Ni Wɔɔmia Beni Akɛ Yiwaa Baa Wɔnɔ
58,Namɛi Ji Kristo Sɛɛnyiɛlɔi Diɛŋtsɛ?
59,Obaakpa Nɔ Ni Odũɔ
60,Mɛɛ Oti Okɛma Ohiɛ Yɛ Shihilɛ Mli?
61,Namɔ Shiwoi Oheɔ Oyeɔ?
62,Nɛgbɛ Wɔbaanyɛ Wɔná Hiɛnɔkamɔ Kpakpa Yɛ?
63,Ani Abaanyɛ Ana Anɔkwale Lɛ?
64,“Shwɛmɔ-Kɛ-Ŋɔɔmɔ” Aloo “Nyɔŋmɔ”—Te Nɔ Ni Obaasumɔ?
65,Bɔ Ni Ooofee Onã Toinjɔlɛ Yɛ Jeŋ Ni Mlifu Eyi Mli Lɛ Mli
66,Ani Obaabafata He Ni Atsu Nikpamɔ Nitsumɔ Lɛ?
67,Jwɛŋmɔ Yehowa Wiemɔ Lɛ Kɛ Nibii Ni Ebɔ Lɛ Anɔ
68,‘Yaa Nɔ Okɛke Tswaa’
69,Mɛni Hewɔ Esa Akɛ Oje Suɔmɔ Mli Okɛ Ohe Ashã Afɔlɛ?
70,Mɛni Hewɔ Nyɔŋmɔ Ji Mɔ Ni Sa Akɛ Okɛ Ohiɛ Afɔ̃ Enɔ?
71,Mɛni Hewɔ Esa Akɛ ‘Oya Nɔ Oshi Kpe’? Te Obaafee Tɛŋŋ Ofee Nakai?
72,Suɔmɔ Ji Nɔ Ni Kadiɔ Anɔkwa Kristofoi Asafo Lɛ
73,Bɔ Ni Obaafee Onã “Tsui Ni Hiɛ Kã Shi”
74,Yehowa Miikwɛ Wɔ
75,Ani Bɔ Ni Ohiɔ Shi Ohãa Lɛ Tsɔɔ Akɛ Ofiɔ Yehowa Nɔyeli Lɛ Sɛɛ?
76,Biblia Mli Shishitoo Mlai—Ani Amɛbaanyɛ Amɛwa Wɔ Kɛdamɔ Naagbai Ni Wɔkɛkpeɔ Ŋmɛnɛ Lɛ Anaa?
77,“Nyɛkɔa Gbɔfeemɔ Gbɛ Lɛ”
78,Okɛ Miishɛɛ Tsui Asɔmɔ Yehowa
79,Namɔ Okɛbaabɔ Naanyo?
80,Ani Okɛ Ohiɛ Fɔ̃ɔ Jeŋ Shikpamɔ Nɔ Aloo Biblia Lɛ Nɔ?
81,Namɛi Sa Akɛ Amɛfeɔ Mɛi Yesu Kaselɔi?
82,Yehowa Kɛ Kristo—Ani Amɛji Triniti Ko Fã?
83,Ani Esa Akɛ Kristofoi Aye Kitãi Nyɔŋma Lɛ Nɔ?
84,Ani Obaaje Nɔ Ni Baaba Je Nɛɛ Nɔ Lɛ Mli?
85,Sanekpakpa Ni Ashiɛɔ Yɛ Yiwalɛ Jeŋ Mli
86,Sɔlemɔi Ni Nyɔŋmɔ Boɔ Toi
87,Mɛɛ Wekukpaa Kã Okɛ Nyɔŋmɔ Teŋ?
88,Mɛni Hewɔ Esa Akɛ Ohi Shi Yɛ Biblia Mli Gbɛtsɔɔmɔi Lɛ Anaa?
89,Ani Anɔkwale Lɛ He Kumai Miiye Bo? Ba!
90,Feemɔ Bɔ Fɛɛ Bɔ Ni Obaanyɛ Koni Onine Ashɛ Wala Diɛŋtsɛ Lɛ Nɔ!
91,Ba Ni Mesia Lɛ Eba Lɛ Kɛ Enɔyeli Lɛ
92,Gbɛfaŋnɔ Ni Nyɔŋmɔ Jamɔ Ená Yɛ Je Lɛŋ Saji Amli
